binomial,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024
Axis axis,17315790016.1568,17285692337.7037,17244145758.2028,17215973096.7369,17117444316.6271,17141951071.2328,17106357904.6813,17049625925.1468,17017049169.4372,16962600312.7311,16961989075.7908,16893739259.5954,16897774111.8213,16833421432.8422,16808022997.9617,16764871695.2556,16736624903.1019,16735163248.8805,16686397673.3721,16647297194.1976,16607172470.324,16602298443.3335,16615593014.6013,16605284870.7052,16605223625.4194
Axis calamianensis,67485282.4377047,67404572.6504717,66903907.0529817,66881032.9140314,66951970.9877114,66693733.7502001,66805701.4464282,66585230.642433,66384896.6295724,66299118.6005246,66126022.0910075,65825019.4267025,66001159.2318737,65718384.3148184,65602380.3519926,65394074.6286961,65125899.9750568,65261976.8057062,65066719.198461,65007487.3083732,65010937.013611,64968744.8733534,64646742.0613342,64810189.16361,64766861.1801429
Axis kuhlii,7748320.71474991,7725206.53557894,7677458.93300599,7662965.23959197,7588167.03559659,7655798.86485759,7644973.09362584,7661644.97352711,7552533.66400854,7551235.70794499,7578720.0490969,7547649.50829467,7529783.73697715,7502245.18241573,7484985.8748837,7420072.95213468,7433937.65443254,7447047.78516348,7434451.09312318,7439291.55604469,7406946.51390562,7440043.34423217,7409825.39742205,7455119.26470017,7434603.0964018
Beatragus hunteri,7817557.22243734,7789675.68413287,7822411.62161509,7773163.31425577,7746156.76473236,7695513.60225234,7724391.36210258,7714994.0574497,7657825.73638398,7684662.96203135,7693352.02456079,7641639.13274116,7597939.43943289,7609803.44535907,7588079.65993793,7573374.45939942,7553560.70543008,7516758.17005939,7520746.46578655,7533731.80629324,7563170.51707741,7528042.50206224,7483409.65802835,7487886.7939934,7525604.04512344
Bison bison,7003235881.50559,7014793746.47215,6968969634.80896,7001355626.87586,6926400775.47926,6977860175.33607,6885828219.85151,6934634394.74461,6908081812.87373,6849461495.82331,6838882174.30934,6860510181.5238,6903280597.04112,6847459869.12669,6793085589.22067,6795624277.53641,6796076499.73356,6760426866.18385,6800770179.17611,6794709752.2253,6729104589.74144,6759061996.13277,6732258585.26926,6664417529.3836,6727104424.72607
Bos gaurus,6033575260.23256,6030064570.05013,6034958076.29923,6013032870.9747,5966787800.11946,5981844482.96801,5962619860.38422,5969389106.74944,5973968240.77383,5897282254.4396,5889374114.93167,5887904896.54277,5883609568.72844,5874646917.86522,5903794948.59359,5895041624.87942,5857023963.60736,5843154281.03564,5810772262.0675,5798923206.54787,5861119836.18081,5794161577.17111,5763191939.07022,5773699559.93359,5807333052.79183
Bos javanicus,1788988085.06889,1773154818.03423,1751306806.96109,1762032623.32399,1762359479.09967,1759152432.32528,1747807654.83238,1740010788.07688,1742011601.36067,1732165344.91941,1737322797.72976,1732691897.58055,1712615952.42397,1732682341.0399,1725241304.28704,1712878476.3946,1705911810.78713,1704475429.97262,1703439114.34081,1697772735.1896,1693321525.33096,1706290627.58935,1698663309.50829,1701692193.64424,1690146682.91773
Bos mutus,3003611967.27097,2993946887.47356,2991108665.52347,2968550347.12807,2984724212.22596,2961658794.82777,2957059920.76281,2949391965.81315,2963548853.96626,2953418205.4494,2933254664.77333,2924685742.1774,2904454169.08448,2926852780.05852,2911763615.08485,2910876329.63523,2902245841.40553,2899099872.52304,2878097070.57984,2889440348.40482,2880361074.0501,2892110033.28372,2878644091.45011,2883023478.7436,2874372149.10243
Boselaphus tragocamelus,8089808655.82592,8004334253.08534,8003546549.45867,8052400125.76525,8052606070.7805,7990858117.17163,7898474046.91084,7918808338.71356,7935511290.68089,7908853894.38407,7876769301.74966,7923601934.488,7856866285.18872,7782829836.02002,7778475338.38479,7766450464.94219,7790369162.78856,7757298734.21353,7745563873.14736,7754833252.52447,7749375319.7849,7681044498.7176,7727926686.22518,7687421348.36709,7765514142.79901
Bubalus depressicornis,321742102.358698,321725907.275024,321791321.106358,322120452.041127,320534184.482386,317160010.804036,317566503.086756,318687544.198783,316901079.647475,317985576.840528,316404003.968104,314733158.606975,316417148.733024,312483709.902431,312738127.794575,313861912.796878,312931996.09977,312859558.820698,310706073.29944,312056034.868414,313484686.289674,308326135.749418,310843789.006085,310687610.02213,306973199.693326
Bubalus mindorensis,36284865.4377915,36188055.5362996,35901215.3037362,36193257.5001759,35856388.2014734,35883603.9404586,35795790.9182219,35804120.6900549,35621188.3143362,35468375.663709,35341781.0118759,35551801.227943,35267886.3567221,35414458.2560239,35176284.9105325,34908787.958184,35059502.5160794,35131230.1588994,34800548.6510477,34678429.2756423,34788955.2789365,34661693.2626837,34755569.0649238,34777843.5325473,34739803.0149893
Bubalus quarlesi,4280580.63136011,4290875.80434318,4256389.90828833,4243103.4525638,4235830.84520815,4223152.83783432,4220941.68256756,4210437.53840595,4206689.27834687,4222583.6081238,4174737.21777513,4145078.75777858,4168685.93924498,4164040.28367008,4147426.65155332,4101432.72598654,4141842.94056427,4116133.4838187,4135474.468987,4116115.96817958,4123271.58455342,4115102.76147326,4100336.54354638,4107356.49974295,4089451.92422091
Budorcas taxicolor,4569636602.33306,4559085622.20829,4545303727.43696,4537263952.40548,4531617067.80223,4517208507.43743,4507365838.37027,4507266673.0752,4477015781.78976,4472900807.82756,4483388139.48239,4460672472.33756,4457879896.07895,4439846125.0303,4437274027.63154,4424578225.85079,4415148351.13325,4408546334.42645,4391558961.35969,4389449737.86168,4374008551.97888,4374436147.14005,4376230596.17698,4362715027.85113,4372432738.69169
Camelus ferus,120545980.951636,120635958.818909,119906908.525965,120441941.675445,120501298.585994,120464434.830759,118543431.037205,118524495.159422,119129465.960336,117887719.508749,118127693.829972,118407204.986622,117516523.477784,117317966.164217,116775512.843139,116711030.444553,117270134.282599,116240684.899631,115628355.447228,115397248.616634,116442647.256282,115261003.131449,115539105.463625,115126826.099896,115635263.355649
Capra aegagrus,1336406901.59739,1332498172.76951,1323496689.38224,1328240688.73925,1320844102.64504,1319769940.97643,1317895193.96164,1313551625.53807,1308723401.68817,1309006253.3771,1303713716.96718,1306059452.17837,1297725768.94199,1299519735.84575,1296310591.94919,1292110652.29763,1288559134.86112,1287152110.84473,1287625252.88706,1284248576.37586,1282585743.10236,1278833348.73425,1281019808.75585,1277911969.81204,1279815246.084
Capra caucasica,95538562.8932381,95682488.7698257,95217083.5068175,95119920.3193928,94639032.7615903,94014502.3717189,94474586.1747306,94085409.4130375,93930554.8541209,93561900.294875,94082183.494721,92729830.0574955,93700899.6191396,92933352.6336354,93048748.253329,92033209.6071678,92094176.7023532,92751713.9684144,91971703.2262595,91725820.6977713,92076258.840888,91337762.0225529,91357430.5359849,91668191.4293357,91470968.5907679
Capra cylindricornis,542148318.811895,545444898.516322,543654082.827362,545284691.830026,543982250.133172,538777211.724725,538017752.133297,534633157.532698,535452391.307933,536711782.9756,535424291.432916,532834323.606175,530149231.86595,528917340.077915,529298810.055712,528133188.462397,530197584.469421,525474290.503249,525099601.507727,525891088.69342,523335604.755692,523952804.589705,522931810.525035,523602526.519537,526840272.937391
Capra falconeri,154710218.358586,154263062.985085,154080556.615993,152703862.389372,152211219.54769,153497853.445263,152569871.828407,151374295.960374,150862112.275693,151357852.632629,151489326.315794,149876534.119036,149532181.346828,149292277.172412,148857254.138016,148686654.986794,148920639.05168,148455116.811526,148784929.962987,148850894.18684,148106712.715313,146380167.937853,146818466.046703,147980863.877595,147482282.562102
Capra ibex,1000677445.28331,1003646154.3723,997945023.658621,995585460.099725,993248807.638839,991165486.659958,992741994.893245,988024326.675813,983222546.683345,983108989.84609,985855151.970263,980205815.93986,978343951.824363,979487990.015449,970973517.88891,971900752.996073,969663647.519438,970338928.072691,966624949.54703,960769645.108557,961271600.429686,963490135.220379,962037299.906556,954591663.326351,962324360.493925
Capra nubiana,448013511.545783,448318790.338894,447092973.197196,444486421.111025,444321919.486564,444353676.856977,444154877.690165,442568784.789489,443044363.127095,440955924.29849,440053151.794242,438772792.118784,437324326.040684,436941878.316308,435297057.27926,435146342.961085,434429503.502181,433936368.789002,433297981.126533,432362086.53748,431571547.488711,431006283.801408,430881477.043547,430269684.158837,430050308.051302
Capra pyrenaica,1344097755.55298,1340279015.6667,1348256989.89835,1340509473.92737,1335289431.82306,1333236206.97,1325357478.25063,1329593390.01861,1326776934.93825,1327990949.80352,1315522801.20892,1322618096.81752,1309680924.06262,1307839421.25126,1306442675.40097,1307639312.44008,1311774827.17066,1302718590.2934,1298978189.99628,1300871293.82142,1302829884.78611,1289222054.08723,1292325081.46818,1285335330.2843,1295154200.97662
Capra sibirica,9908280685.97405,9788302217.96106,9885845425.25605,9824857814.01921,9742936689.4833,9758604086.60923,9666968727.7309,9700832127.42356,9700016496.23797,9658455363.03883,9675236674.99032,9678022935.95826,9643736780.0766,9579702010.70416,9586371785.37775,9560604798.06272,9551577336.52199,9502487633.15515,9533424148.82205,9496805100.30247,9486004655.06514,9522747619.2098,9541424536.25974,9473083796.1186,9544967612.31381
Capra walie,14789764.8404722,14699762.2441382,14697193.1083192,14688432.0891186,14688253.7530586,14622909.8358129,14633471.5955421,14506476.4329281,14378532.4678086,14553061.4284819,14496940.3016807,14454333.1865586,14382479.8533781,14439448.5185671,14314549.571195,14309832.7603811,14361623.8349792,14296191.3079452,14286100.1050476,14278889.9407287,14167550.3354404,14210171.9681556,14194098.9545742,14150947.3911117,14125021.165353
